alpha_in,alpha_out,Omega,segment,rho_local,rho_local_std,D_local,MSD_t20,MSD_t100,MSD_t200,MSD_t1000,MSD_t2000,MSD_t6000,Rg_local,Rg_local_std,n_neighbors_3s,n_neighbors_3s_std,sigma_rho_theory,D_eff,rho_mean,Rg_chain,alpha_ratio,log_Omega
0.1,0.1,0.0,5,0.894377,0.006126,0.02891515250334412,16.38307,59.69303,103.9019,382.9155,606.7609,1337.139,1.533972,0.004086,14.219582,0.220666,0.34985224898711687,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,15,0.895085,0.004806,0.028918315631396536,17.07505,59.57351,103.7444,382.5031,606.4442,1336.5,1.532714,0.005469,17.15831,0.238742,0.38938737381866095,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,25,0.894942,0.00611,0.028944101849051943,16.71336,58.39476,102.657,381.4579,605.5249,1335.905,1.530759,0.005677,18.128934,0.304933,0.41801262727610344,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,35,0.892626,0.007494,0.028954633494445815,16.16522,57.14374,101.434,380.1568,604.3284,1335.063,1.527007,0.006968,18.92805,0.408208,0.439649223284342,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,45,0.890941,0.006412,0.02897435046493017,15.59915,55.63821,99.97879,378.5216,602.8031,1334.164,1.524065,0.007535,19.625804,0.49791,0.45556842915817475,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,55,0.887882,0.008279,0.028983065628225984,14.96856,54.06318,98.31834,376.9033,601.058,1332.707,1.514709,0.013291,20.298146,0.635399,0.4668190828224226,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,65,0.880645,0.011469,0.029010312653054607,14.06528,52.11951,96.1879,375.151,599.3789,1332.066,1.504693,0.019941,20.956118,0.705981,0.474510434295781,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,75,0.840742,0.069349,0.028974406444919883,12.62869,49.20712,93.15796,372.1965,596.7148,1328.497,1.497715,0.021388,21.364674,0.702096,0.4794912223515266,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,85,0.733475,0.173097,0.028942120706274322,10.34375,43.93989,86.83112,365.8838,591.7236,1322.588,1.543775,0.086326,20.971437,1.484177,0.48207021956236906,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,95,0.607955,0.246284,0.028855755485773214,8.104537,37.48688,78.04121,353.9475,580.7616,1310.041,1.622289,0.139486,19.605517,3.034323,0.4831361087238745,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
